age,job,marital,education,default,spending,housing,cash_loan,contact_number_type,maturity,app_channel,max_late_charge,cash_withdraw_freq,poutcome,y
48,management,married,tertiary,no,200,no,no,telephone,11,2,339,7,success,no
46,blue-collar,married,primary,no,200,yes,no,cellular,29,1,356,2,success,no
41,entrepreneur,married,tertiary,no,200,yes,no,cellular,209,1,191,4,success,no
33,blue-collar,divorced,primary,no,200,yes,no,telephone,41,2,300,5,success,no
40,management,single,tertiary,no,1509,no,no,cellular,144,2,124,1,success,no
40,management,divorced,tertiary,no,200,yes,no,cellular,138,2,280,2,success,no
34,admin.,married,secondary,no,1499,yes,no,cellular,186,1,327,2,success,no
83,retired,married,primary,no,425,no,no,telephone,153,1,140,1,success,yes
24,admin.,married,secondary,no,299,yes,no,cellular,209,1,321,1,success,no
50,services,married,secondary,no,254,yes,no,cellular,32,2,337,1,success,no
25,management,single,tertiary,no,553,yes,no,cellular,113,4,479,1,success,no
34,technician,single,secondary,no,341,no,yes,cellular,136,1,262,3,success,no
57,technician,divorced,primary,no,200,yes,no,cellular,323,2,368,2,success,no
33,management,married,tertiary,no,3696,no,no,cellular,305,1,182,3,success,no
38,management,married,tertiary,no,200,yes,no,cellular,172,5,303,2,success,no
35,technician,single,tertiary,no,7546,yes,no,cellular,137,1,122,3,success,no
39,blue-collar,married,secondary,no,200,yes,no,cellular,137,1,7,2,success,no
45,technician,married,secondary,no,1415,yes,no,cellular,118,1,116,1,success,no
32,technician,married,secondary,no,286,no,no,cellular,60,1,343,4,success,no
38,blue-collar,married,secondary,no,1663,yes,no,cellular,217,3,327,1,success,no
37,services,married,secondary,no,4760,yes,no,cellular,182,2,169,2,success,no
43,self-employed,married,secondary,no,634,yes,no,cellular,65,1,131,1,success,no
54,entrepreneur,married,tertiary,no,1544,no,yes,cellular,85,7,196,3,success,no
32,services,single,unknown,no,6145,yes,no,cellular,362,1,287,13,success,no
37,management,married,tertiary,no,539,no,no,cellular,175,2,115,3,success,no
70,retired,married,secondary,no,2815,no,no,cellular,125,2,182,1,success,no
32,management,married,secondary,no,6217,yes,yes,cellular,121,2,181,2,success,no
36,services,married,secondary,no,1746,yes,no,cellular,15,1,316,1,success,no
38,technician,married,secondary,no,821,yes,yes,cellular,224,2,180,1,success,no
59,blue-collar,married,primary,no,699,no,no,cellular,98,1,154,6,success,no
42,unemployed,divorced,secondary,no,759,no,no,cellular,97,1,169,3,success,no
33,blue-collar,married,secondary,no,687,yes,no,cellular,72,2,370,1,success,no
53,retired,married,secondary,no,4968,no,no,cellular,109,1,87,2,success,no
36,admin.,divorced,secondary,no,356,yes,no,cellular,244,3,313,1,success,no
32,management,married,tertiary,no,4761,yes,no,cellular,159,2,350,2,success,no
40,admin.,married,secondary,no,200,yes,no,cellular,249,2,169,1,success,no
31,management,single,tertiary,no,3283,no,no,cellular,258,1,73,1,success,yes
40,unemployed,divorced,secondary,no,507,yes,no,cellular,134,1,266,7,success,no
56,blue-collar,married,secondary,no,2190,no,yes,cellular,90,2,232,1,success,no
48,management,married,secondary,no,4415,yes,no,cellular,302,3,141,7,success,yes
53,admin.,single,secondary,no,2398,yes,no,cellular,317,1,180,2,success,yes
49,admin.,married,secondary,no,200,yes,no,cellular,223,1,182,2,success,yes
47,housemaid,single,tertiary,no,3232,no,no,telephone,176,1,204,3,success,no
29,admin.,single,secondary,no,1992,no,no,cellular,202,1,87,2,success,no
51,management,single,tertiary,no,297,yes,no,cellular,50,4,375,1,success,yes
37,services,single,secondary,no,1175,yes,no,cellular,102,1,333,2,success,no
70,retired,married,tertiary,no,15834,no,no,cellular,172,3,186,1,success,no
28,blue-collar,married,secondary,no,373,yes,no,cellular,10,9,344,1,success,no
50,management,married,tertiary,no,4374,yes,no,cellular,163,2,113,3,success,no
36,services,single,secondary,no,774,yes,no,cellular,231,2,259,1,success,no
38,blue-collar,married,primary,no,2240,yes,no,cellular,186,1,183,1,success,no
42,management,married,primary,no,679,yes,yes,cellular,159,1,343,2,success,no
34,services,divorced,secondary,no,991,yes,no,cellular,89,1,344,1,success,no
30,blue-collar,single,secondary,no,200,no,no,cellular,203,1,183,2,success,no
34,technician,single,secondary,no,440,yes,no,cellular,80,2,345,2,success,no
39,technician,married,secondary,no,735,yes,no,cellular,144,5,248,2,success,no
39,technician,divorced,secondary,no,902,yes,no,cellular,326,2,180,5,success,yes
54,retired,married,secondary,no,1139,yes,no,cellular,155,1,177,7,success,no
54,blue-collar,married,secondary,no,200,no,no,telephone,271,1,150,1,success,no
22,student,single,primary,no,3472,no,no,cellular,332,1,183,3,success,yes
49,blue-collar,married,primary,no,474,yes,yes,telephone,152,3,221,1,success,no
46,entrepreneur,single,tertiary,no,1410,yes,no,cellular,93,1,189,8,success,no
36,admin.,single,tertiary,no,980,no,no,cellular,118,4,104,7,success,no
77,retired,married,primary,no,680,no,no,telephone,148,2,89,7,success,no
35,technician,married,secondary,no,259,yes,no,cellular,16,1,247,2,success,no
34,technician,single,secondary,no,200,yes,no,cellular,146,2,171,3,success,no
45,blue-collar,married,secondary,no,2926,yes,yes,cellular,117,3,120,2,success,no
28,blue-collar,married,primary,no,200,yes,no,cellular,161,1,337,1,success,no
32,admin.,single,tertiary,no,1583,yes,no,cellular,100,1,182,1,success,no
28,blue-collar,single,secondary,no,1065,yes,yes,cellular,41,1,317,1,success,no
51,unemployed,married,secondary,no,200,yes,no,cellular,361,1,364,1,success,no
31,blue-collar,single,secondary,no,609,yes,no,cellular,31,1,335,1,success,no
40,management,single,tertiary,no,200,yes,no,cellular,228,2,182,6,success,yes
51,blue-collar,married,primary,no,200,yes,no,cellular,51,2,342,3,success,no
59,management,married,primary,no,1727,no,no,telephone,135,4,358,2,success,yes
52,blue-collar,married,primary,no,230,yes,no,cellular,198,2,170,2,success,no
29,blue-collar,married,unknown,no,486,yes,no,cellular,57,1,363,1,success,no
47,technician,married,secondary,no,1167,yes,no,cellular,238,1,87,5,success,yes
38,management,single,tertiary,no,200,yes,no,cellular,156,1,273,3,success,no
69,retired,married,tertiary,no,473,no,no,cellular,112,1,78,1,success,no
38,self-employed,divorced,tertiary,no,1513,no,no,cellular,330,1,342,1,success,no
41,technician,divorced,secondary,no,348,yes,no,cellular,225,2,275,2,success,no
35,housemaid,married,tertiary,no,1265,yes,no,cellular,326,5,179,4,success,yes
51,blue-collar,divorced,primary,no,602,yes,no,cellular,347,1,284,2,success,no
33,services,married,secondary,no,386,no,no,cellular,253,1,92,4,success,yes
32,blue-collar,single,secondary,no,200,yes,no,cellular,125,1,368,4,success,no
40,services,married,secondary,no,1438,yes,no,cellular,207,1,351,2,success,no
54,management,divorced,tertiary,no,26306,yes,no,cellular,27,1,84,3,success,no
34,management,married,tertiary,no,3301,yes,no,cellular,120,2,227,4,success,yes
24,student,single,secondary,no,822,no,no,cellular,184,1,91,2,success,yes
33,blue-collar,married,secondary,no,200,yes,yes,cellular,2,2,291,5,success,yes
46,management,single,tertiary,no,200,no,yes,cellular,80,1,152,1,success,no
34,admin.,single,secondary,no,200,no,yes,cellular,162,1,173,3,success,no
49,unemployed,divorced,tertiary,no,780,no,no,cellular,148,1,871,2,success,no
36,management,single,tertiary,no,1531,yes,no,cellular,81,3,170,1,success,no
58,retired,married,secondary,no,502,yes,no,cellular,197,2,370,3,success,no
34,management,single,tertiary,no,200,yes,no,cellular,191,1,294,1,success,no
34,entrepreneur,married,secondary,no,200,yes,yes,cellular,184,1,167,6,success,no
28,technician,single,secondary,no,769,yes,no,cellular,153,1,371,2,success,no
36,technician,married,tertiary,no,200,yes,no,cellular,100,1,435,1,success,no
53,admin.,married,secondary,no,225,yes,no,cellular,304,1,340,1,success,no
33,admin.,single,tertiary,no,490,yes,no,cellular,31,1,363,2,success,no
26,services,single,secondary,no,512,yes,yes,cellular,206,5,239,3,success,no
36,services,single,secondary,no,417,yes,no,cellular,15,10,207,3,success,no
42,blue-collar,divorced,secondary,no,1491,yes,no,cellular,203,2,334,2,success,no
30,management,married,tertiary,no,877,no,no,cellular,202,1,83,5,success,no
40,technician,married,secondary,no,200,yes,yes,cellular,105,2,172,1,success,no
26,student,single,secondary,no,203,no,no,cellular,104,1,196,1,success,no
52,technician,married,secondary,no,1818,no,yes,cellular,189,2,111,4,success,no
42,unemployed,married,secondary,no,1289,no,no,cellular,250,4,415,2,success,yes
73,retired,married,primary,no,796,no,no,cellular,62,1,182,2,success,yes
39,management,married,tertiary,no,691,yes,yes,cellular,152,1,255,1,success,no
35,management,married,secondary,no,724,yes,no,cellular,287,2,415,1,success,yes
30,blue-collar,married,secondary,no,200,yes,no,cellular,284,2,371,1,success,no
46,blue-collar,married,primary,no,665,no,no,cellular,89,4,235,2,success,no
26,blue-collar,single,primary,no,200,yes,no,cellular,291,1,244,4,success,no
32,management,married,tertiary,no,1667,yes,no,cellular,164,2,179,3,success,no
50,admin.,divorced,secondary,no,769,no,no,cellular,72,2,363,4,success,no
50,unknown,married,unknown,no,558,no,no,cellular,99,1,683,6,success,yes
35,blue-collar,married,secondary,no,1257,yes,no,cellular,93,3,329,7,success,no
48,management,single,tertiary,no,8106,no,no,unknown,125,1,111,3,success,no
56,entrepreneur,divorced,primary,no,200,no,no,cellular,52,2,227,1,success,no
49,unemployed,married,tertiary,no,377,no,no,cellular,158,1,59,2,success,no
34,admin.,divorced,secondary,no,479,yes,no,cellular,150,1,350,5,success,yes
44,blue-collar,married,secondary,no,1071,yes,no,cellular,143,3,357,1,success,no
55,admin.,married,secondary,no,865,yes,no,cellular,85,1,151,1,success,no
32,technician,married,secondary,no,200,no,no,cellular,145,2,260,4,success,no
36,blue-collar,single,primary,no,367,no,no,cellular,217,1,221,1,success,no
36,admin.,married,secondary,no,725,yes,no,cellular,123,3,99,8,success,no
45,blue-collar,married,secondary,no,776,yes,no,cellular,232,4,253,1,success,no
27,admin.,single,tertiary,no,3672,yes,no,cellular,157,2,351,5,success,no
45,blue-collar,single,secondary,no,200,yes,no,cellular,12,1,192,4,success,yes
59,admin.,married,secondary,no,200,yes,no,cellular,139,2,350,1,success,no
46,admin.,married,secondary,no,200,yes,yes,cellular,239,2,259,2,success,no
35,self-employed,married,tertiary,no,560,yes,no,cellular,58,1,136,1,success,no
57,blue-collar,married,secondary,no,1521,yes,yes,cellular,102,2,178,5,success,no
45,technician,divorced,secondary,no,809,yes,no,cellular,155,2,363,4,success,no
47,technician,divorced,tertiary,no,477,yes,no,telephone,243,1,366,1,success,no
32,technician,single,secondary,no,230,yes,no,cellular,77,1,266,8,success,yes
60,admin.,married,secondary,no,396,yes,no,cellular,78,1,350,1,success,no
34,management,married,tertiary,no,1657,yes,no,cellular,201,2,356,4,success,no
39,technician,married,secondary,no,994,no,no,cellular,221,1,241,1,success,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,182,1,90,8,success,no
42,blue-collar,married,secondary,no,2157,yes,no,cellular,149,1,364,2,success,no
37,management,married,primary,no,22856,no,no,cellular,154,1,388,1,success,no
36,management,married,tertiary,no,1582,no,no,telephone,26,2,197,1,success,no
47,blue-collar,married,primary,no,881,yes,no,cellular,143,1,370,2,success,no
40,self-employed,married,secondary,no,200,yes,yes,cellular,15,4,295,1,success,no
32,technician,single,tertiary,no,1625,no,no,cellular,66,1,109,1,success,yes
23,blue-collar,single,primary,no,8627,yes,no,cellular,169,1,346,1,success,no
32,management,single,tertiary,no,697,no,no,cellular,119,1,99,3,success,no
37,blue-collar,married,primary,no,655,yes,no,cellular,127,2,258,4,success,no
29,admin.,single,tertiary,no,200,no,no,cellular,87,1,120,1,success,no
39,admin.,married,secondary,no,260,yes,no,cellular,146,1,281,1,success,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,86,1,169,2,success,yes
41,services,married,unknown,no,200,yes,no,cellular,105,1,336,2,success,no
46,blue-collar,married,primary,no,200,yes,no,cellular,116,2,169,3,success,no
36,technician,married,secondary,no,200,yes,no,cellular,38,2,369,4,success,no
35,management,married,tertiary,no,552,yes,yes,cellular,314,2,124,1,success,no
32,blue-collar,married,secondary,no,1787,yes,no,cellular,87,4,357,4,success,no
31,management,single,tertiary,no,12569,no,no,cellular,344,1,295,1,success,yes
46,blue-collar,married,secondary,no,4855,yes,no,cellular,69,1,397,1,success,no
37,blue-collar,married,secondary,no,346,yes,no,cellular,25,1,316,1,success,no
38,entrepreneur,married,tertiary,no,1514,no,yes,cellular,160,3,120,3,success,no
38,entrepreneur,single,secondary,no,2543,no,no,cellular,223,1,414,4,success,yes
56,blue-collar,married,primary,no,828,yes,no,cellular,214,1,349,1,success,no
44,blue-collar,married,secondary,no,508,yes,no,cellular,222,1,154,1,success,no
37,blue-collar,married,secondary,no,342,yes,no,cellular,340,2,175,1,success,no
36,blue-collar,single,tertiary,no,1830,no,no,cellular,183,1,91,11,success,no
38,management,single,tertiary,no,16957,yes,no,telephone,208,1,247,2,success,no
50,technician,divorced,secondary,no,200,yes,yes,cellular,333,2,292,1,success,yes
34,admin.,married,secondary,no,2374,yes,no,cellular,161,1,209,2,success,yes
32,admin.,single,secondary,no,200,yes,no,cellular,110,1,315,2,success,no
40,blue-collar,married,primary,no,1397,yes,no,telephone,58,2,334,1,success,no
38,technician,married,secondary,no,4030,yes,no,cellular,75,2,177,5,success,no
52,admin.,married,secondary,no,200,no,no,cellular,91,2,275,1,success,no
43,management,single,tertiary,no,1696,yes,no,cellular,257,1,474,3,success,yes
34,technician,single,secondary,no,347,yes,no,cellular,154,2,197,6,success,no
46,management,married,tertiary,no,523,yes,no,cellular,105,4,366,2,success,no
56,retired,married,secondary,no,3948,no,no,cellular,119,1,135,3,success,no
66,retired,married,primary,no,747,no,no,telephone,203,3,93,1,success,no
39,self-employed,married,tertiary,no,585,yes,no,cellular,48,1,181,3,success,no
28,technician,married,secondary,no,232,yes,yes,cellular,72,1,261,1,success,no
53,self-employed,married,tertiary,no,451,yes,no,cellular,125,1,249,2,success,no
32,admin.,single,secondary,no,678,yes,no,cellular,119,1,246,4,success,yes
45,technician,divorced,secondary,no,976,yes,no,cellular,183,1,338,2,success,no
75,blue-collar,married,secondary,no,6053,no,no,cellular,135,2,190,1,success,no
35,admin.,married,secondary,no,725,yes,no,cellular,219,7,133,1,success,no
55,management,divorced,tertiary,no,481,yes,no,telephone,147,2,298,3,success,no
77,retired,married,primary,no,680,no,no,telephone,341,4,94,3,success,no
29,admin.,married,secondary,no,22171,yes,no,cellular,44,1,355,3,success,no
32,blue-collar,single,secondary,no,200,yes,no,cellular,276,1,195,1,success,no
52,blue-collar,married,secondary,no,2087,yes,no,cellular,267,1,474,1,success,yes
35,management,married,tertiary,no,200,yes,no,cellular,169,1,231,2,success,no
59,entrepreneur,married,primary,no,200,no,no,telephone,207,2,153,1,success,no
32,technician,divorced,secondary,no,202,yes,no,cellular,64,1,201,1,success,no
38,management,single,tertiary,no,427,yes,no,cellular,17,3,169,2,success,no
64,retired,married,tertiary,no,846,no,no,cellular,306,1,181,3,success,yes
35,self-employed,married,tertiary,no,980,no,no,cellular,63,2,336,6,success,no
33,admin.,married,tertiary,no,200,yes,no,cellular,249,2,335,2,success,yes
25,management,single,tertiary,no,808,no,no,cellular,267,2,114,2,success,yes
31,management,married,tertiary,no,22546,yes,no,cellular,8,6,267,4,success,no
29,blue-collar,married,secondary,no,228,yes,no,cellular,12,8,342,9,success,no
40,services,married,secondary,no,378,yes,yes,cellular,176,1,295,6,success,no
55,admin.,married,secondary,no,865,yes,no,cellular,96,1,111,3,success,no
31,admin.,married,secondary,no,389,yes,no,cellular,69,1,185,2,success,no
34,entrepreneur,married,secondary,no,1847,yes,no,cellular,178,3,321,6,success,no
57,services,divorced,secondary,no,4664,no,no,cellular,22,4,114,1,success,no
49,unemployed,married,tertiary,no,471,yes,no,cellular,77,3,185,7,success,no
45,admin.,married,unknown,no,2033,no,no,cellular,123,1,186,4,success,no
56,admin.,divorced,unknown,no,789,yes,no,cellular,292,1,360,2,success,no
37,blue-collar,married,unknown,no,897,yes,no,cellular,119,2,280,2,success,no
38,management,single,tertiary,no,8669,yes,no,telephone,5,3,150,6,success,no
45,admin.,married,secondary,no,200,yes,yes,cellular,262,2,352,2,success,no
